                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.312,                  0.832,                 1.2053,                0.92043,                0.94767,                0.97143,                0.58523,                 1.4065,                0.61707,                 1.2731,               0.000948,               0.000948,               0.000948
                     36,                 1.2892,                0.81379,                 1.1815,                0.94283,                0.91553,                0.97885,                0.58474,                 1.3981,                0.60332,                 1.2534,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.2934,                0.81184,                 1.1868,                0.92333,                0.93613,                0.96629,                0.59445,                 1.3629,                0.61229,                 1.2345,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.2856,                0.80363,                 1.1908,                0.95844,                0.93602,                0.97704,                0.62426,                 1.3363,                0.56334,                 1.2203,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.3065,                0.80316,                 1.1894,                0.95907,                0.94944,                0.98068,                0.62083,                 1.3433,                0.55043,                  1.228,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.2937,                0.78815,                 1.1782,                0.96431,                0.95231,                0.97936,                0.61096,                  1.352,                0.58813,                 1.2172,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.2762,                0.80086,                 1.1784,                0.91692,                0.97905,                0.97392,                0.59948,                 1.3531,                0.58827,                 1.2263,             0.00086312,             0.00086312,             0.00086312
                     42,                  1.269,                0.77752,                 1.1716,                0.94101,                0.95374,                0.97406,                0.60409,                 1.3461,                0.59842,                 1.2216,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.2807,                0.77106,                  1.177,                0.89566,                0.96456,                0.97693,                0.61186,                 1.3547,                0.57744,                 1.2292,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.2477,                0.74939,                 1.1612,                0.92766,                0.96794,                0.98108,                0.62687,                 1.3452,                0.55604,                 1.2153,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.2389,                0.75202,                 1.1642,                0.95768,                0.94179,                0.97627,                0.61991,                 1.3292,                0.56345,                 1.2266,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.2564,                0.76649,                 1.1653,                0.96676,                0.95706,                0.98264,                0.62282,                 1.3284,                0.53732,                  1.191,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.2359,                0.75255,                 1.1562,                0.93284,                0.93866,                 0.9765,                0.60775,                 1.3479,                0.58373,                 1.2185,             0.00077823,             0.00077823,             0.00077823
                     48,                  1.252,                 0.7517,                  1.165,                0.95854,                0.94136,                0.97753,                0.61818,                 1.3595,                 0.5462,                 1.2187,             0.00076409,             0.00076409,             0.00076409
                     49,                 1.2255,                0.72983,                 1.1503,                 0.9383,                0.93894,                0.97528,                0.62638,                 1.3171,                0.57661,                 1.1995,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.2325,                0.73025,                 1.1488,                0.92188,                0.96023,                0.97466,                0.61338,                 1.3406,                0.54621,                  1.221,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.2132,                0.73946,                 1.1534,                0.95702,                0.97015,                0.98167,                0.61369,                 1.3302,                0.54173,                 1.2108,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.2234,                0.71034,                 1.1452,                0.96697,                0.94199,                0.97803,                0.62889,                 1.3161,                 0.5385,                 1.1863,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.2215,                 0.7362,                 1.1478,                0.94982,                0.97377,                0.97797,                0.62761,                 1.3268,                0.51648,                 1.1951,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.2077,                0.71854,                  1.135,                0.95399,                0.97465,                0.98355,                0.63349,                 1.3023,                0.51866,                 1.1762,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.1886,                0.69351,                 1.1215,                0.96064,                0.97466,                0.98541,                 0.6328,                 1.2888,                0.51487,                 1.1723,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.1999,                0.69893,                 1.1359,                0.96207,                0.96009,                0.97918,                0.63165,                 1.3175,                0.52336,                 1.1908,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.1757,                0.68059,                 1.1171,                0.94508,                0.97465,                 0.9833,                0.63257,                 1.3222,                0.53108,                 1.2018,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.1878,                0.68632,                 1.1257,                0.94878,                 0.9708,                0.97912,                0.62801,                 1.3312,                0.51424,                 1.2072,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.1743,                0.68218,                 1.1146,                0.95058,                0.96313,                0.97789,                0.63662,                  1.302,                0.52534,                 1.1749,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.1853,                0.68563,                 1.1265,                0.96372,                0.97369,                 0.9831,                0.64675,                 1.2985,                0.52057,                 1.1898,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.1551,                0.67152,                 1.1081,                0.96589,                0.96205,                0.98247,                0.64662,                 1.2924,                0.50786,                 1.1834,             0.00058017,             0.00058017,             0.00058017
                     62,                  1.151,                0.66729,                 1.1082,                 0.9496,                0.97699,                0.97924,                0.62838,                 1.3051,                0.51797,                 1.1925,             0.00056603,             0.00056603,             0.00056603
                     63,                 1.1454,                0.65682,                 1.1054,                0.94547,                 0.9689,                0.98128,                 0.6396,                 1.2968,                0.50424,                 1.1909,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.1571,                0.65829,                 1.1113,                0.97211,                0.95541,                0.97964,                0.62766,                  1.324,                0.52183,                 1.1978,             0.00053773,             0.00053773,             0.00053773
                     65,                 1.1396,                0.63651,                  1.102,                0.94937,                0.98204,                0.98433,                0.64001,                  1.298,                 0.5089,                 1.1854,             0.00052359,             0.00052359,             0.00052359
                     66,                 1.1311,                0.65851,                 1.1027,                0.95474,                 0.9627,                0.97482,                0.64391,                  1.279,                0.51658,                 1.1673,             0.00050944,             0.00050944,             0.00050944
